station_id,year,EMEP_Standard_DEP_SOX_mgpm2,EMEP_Standard_DEP_TOTN_mgpm2
23537,2008,459.20587,1583.5468
23562,2008,217.44025,983.50543
23563,2008,505.51022,2359.8354
23564,2008,217.44025,983.50543
23565,2008,542.60144,2748.1614
23566,2008,549.5089,2549.903
23567,2008,587.21216,2904.7688
23597,2008,179.82048,438.537
23598,2008,227.18695,688.84406
23603,2008,258.72574,933.18176
38201,2008,415.08072,1623.5125
38202,2008,381.61078,1483.0638
38203,2008,353.70895,1458.845
38204,2008,323.94922,1226.1974
38205,2008,354.72034,1356.6235
38206,2008,321.8175,1215.7463
38207,2008,502.4331,1453.2723
38208,2008,992.862,1791.6117
38209,2008,374.00482,685.86237
38210,2008,111.04241,166.32225
38211,2008,110.07134,162.47552
38212,2008,364.0506,847.7408
38213,2008,201.46222,334.84094
38214,2008,279.07364,559.84814
38242,2008,134.19612,411.90106
38312,2008,392.73547,1003.83026
38314,2008,192.64932,539.5764
38315,2008,68.32091,158.71509
38316,2008,377.80927,93.60679
38319,2008,739.152,962.7509
38352,2008,309.74133,985.6006
38364,2008,328.65723,1098.3627
38391,2008,117.11716,332.62958
38394,2008,247.41656,824.3296
38402,2008,82.3044,222.83244
38418,2008,576.2641,1269.1586
38422,2008,391.60083,1034.615
38428,2008,358.50507,987.9042
38432,2008,230.24422,336.34033
38434,2008,322.5531,694.49115
38437,2008,351.34744,994.20526
23505,2009,429.7886,1665.3606
23506,2009,440.15906,1729.9014
23507,2009,519.5662,1733.6907
23509,2009,309.42612,1390.5286
23510,2009,408.93536,1622.9303
23511,2009,535.7882,1726.9697
23512,2009,334.6522,1260.0878
23514,2009,334.6522,1260.0878
23522,2009,394.742,1528.2605
23525,2009,584.0391,1630.0863
23527,2009,334.6522,1260.0878
23528,2009,510.86,1566.3951
23530,2009,460.19336,1746.73
23531,2009,334.6522,1260.0878
23532,2009,429.8746,1616.0942
23533,2009,429.8746,1616.0942
23534,2009,705.6954,1500.058
23536,2009,572.3505,1883.7947
23537,2009,394.742,1528.2605
23562,2009,215.70206,1069.5376
23563,2009,343.8516,1905.3717
23564,2009,215.70206,1069.5376
23565,2009,396.82828,2256.1577
23566,2009,372.7562,2035.7117
23567,2009,397.59348,2256.3928
23597,2009,185.50023,444.244
23598,2009,219.22034,687.38635
23603,2009,243.99197,868.4846
38201,2009,416.4917,1581.7098
38202,2009,394.16644,1447.6498
38203,2009,353.68454,1452.4099
38204,2009,343.6048,1233.3738
38205,2009,376.5286,1335.0168
38206,2009,333.89294,1181.2684
38207,2009,547.0155,1444.1
38208,2009,907.5779,1710.2164
38209,2009,220.99002,505.7089
38210,2009,78.55323,152.19716
38211,2009,78.78993,148.70981
38212,2009,250.79349,659.8522
38213,2009,116.41591,242.75726
38214,2009,177.71786,429.75208
38242,2009,156.94168,496.29718
38312,2009,441.95444,1274.1097
38314,2009,254.79887,705.255
38315,2009,59.840538,158.07198
38316,2009,401.91507,98.06152
38319,2009,692.6493,859.98737
38352,2009,284.88098,944.11896
38364,2009,292.70343,1047.3572
38391,2009,126.4104,346.0471
38394,2009,224.41869,757.8008
38402,2009,81.75256,227.4263
38418,2009,457.51666,1063.6013
38422,2009,315.0346,822.257
38428,2009,353.72845,1055.4298
38432,2009,207.02861,316.8828
38434,2009,311.8155,682.5104
38437,2009,305.1011,893.7422
23505,2010,425.28775,1741.121
23506,2010,451.28958,1839.0791
23507,2010,450.5251,1624.9344
23509,2010,263.95132,1365.7552
23510,2010,404.5282,1649.3649
23511,2010,569.1406,1720.2244
23512,2010,297.63495,1267.8704
23514,2010,297.63495,1267.8704
23522,2010,421.60498,1653.2415
23525,2010,600.60443,1505.434
23527,2010,297.63495,1267.8704
23528,2010,555.6402,1588.4698
23530,2010,411.9444,1727.922
23531,2010,297.63495,1267.8704
23532,2010,440.87823,1714.8274
23533,2010,440.87823,1714.8274
23534,2010,713.0746,1442.0629
23536,2010,498.4547,1806.3362
23537,2010,421.60498,1653.2415
23562,2010,150.60066,879.9523
23563,2010,336.16257,1955.1982
23564,2010,150.60066,879.9523
23565,2010,405.31168,2359.4883
23566,2010,363.39938,2093.1501
23567,2010,395.71152,2427.6885
23597,2010,175.32224,434.28833
23598,2010,252.43347,743.8345
23603,2010,253.01044,878.3397
38201,2010,363.93423,1547.1638
38202,2010,347.43848,1437.3124
38203,2010,320.46838,1486.2725
38204,2010,304.32208,1235.8948
38205,2010,337.17554,1340.6732
38206,2010,303.0568,1229.1963
38207,2010,571.9815,1498.014
38208,2010,929.5886,1643.7501
38209,2010,314.54898,598.4444
38210,2010,96.280136,186.20581
38211,2010,91.43439,173.2646
38212,2010,289.74915,720.11664
38213,2010,162.21077,341.521
