station_id,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2,totn_mgNpm2
38486,1308.6565,1175.554,1081.9567,1091.8933,1174.7626,983.9549,1076.6996,1056.5322,1117.3757,1190.8529,1264.33,1177.625,1219.5441,1087.488,862.60736,785.4958,740.7713,819.6794,734.3744,648.9498,505.4235,804.48285,749.2757,786.9243,750.2271,694.6019,736.2367
38487,1254.417,1096.2788,1028.668,1047.866,1114.261,938.2492,1045.0001,1033.4875,1119.5516,1128.0104,1136.469,1043.721,1111.8,997.2446,797.0888,732.6562,690.5701,777.0205,691.79504,616.1435,479.3075,769.7705,722.2669,760.6866,722.2719,652.4098,695.4099
38488,915.796,782.4205,571.4608,772.9465,802.6048,680.6234,763.9083,765.6765,1014.8068,1040.7678,1066.729,1013.82306,1147.525,857.06775,835.73645,727.7939,686.0136,798.8299,663.343,539.7933,529.1152,749.7457,677.8057,746.7265,720.92883,721.58673,680.14954
38489,1614.4888,1281.596,1307.5807,1354.3756,1409.3953,1253.9165,1402.4568,1298.2886,1153.3997,1282.7218,1412.044,1204.475,1379.478,1192.691,1023.971,937.75586,886.765,921.4322,813.5393,746.7186,651.6481,851.0852,767.1252,806.6822,720.1671,698.1007,765.60876
38490,1308.977,972.9163,851.8177,975.37067,1086.6687,930.33264,1009.5854,818.21,965.5548,1045.583,1125.611,999.1116,1004.375,884.9713,760.9441,741.05994,667.8079,751.1312,724.5918,596.7712,515.6945,747.7276,607.54663,610.5802,621.0164,598.2752,564.8627
38491,1575.4832,1271.6259,1275.4347,1324.6837,1356.1792,1222.4264,1340.8633,1254.1167,1138.6088,1264.7034,1390.798,1114.06,1364.162,1243.402,994.05164,892.62103,878.5845,897.15063,833.8713,725.36743,623.2412,845.62836,737.3294,795.751,698.2973,671.0145,738.2001
38492,1206.8765,856.5259,796.96,908.75885,1027.2772,946.70337,1005.99854,863.8296,911.9549,933.6255,955.29614,876.8896,858.92285,785.3232,705.3873,627.8049,583.26294,677.4,648.7638,514.3271,439.0696,636.1241,509.55292,507.87283,491.3231,489.8553,485.6493
38493,767.29083,529.8171,552.8321,611.7038,695.41656,539.0015,645.36255,684.3198,677.95715,617.95026,557.9434,534.6971,620.2158,578.8946,485.99402,527.53503,486.73373,455.6377,511.032,406.30707,392.5098,466.79492,443.7429,429.97498,406.45428,377.76932,339.1422
38494,1460.675,1515.7446,1575.6372,1356.0986,1666.5907,1429.4624,1536.9049,1365.2202,1442.9785,1644.2972,1845.616,1529.0961,1683.5239,1397.193,1355.103,1191.855,1242.852,1255.246,1159.9049,875.34314,845.352,1026.479,874.1523,897.14813,847.19183,816.59424,861.5416
38495,1464.4232,1419.966,1344.5024,1246.3099,1418.1835,1412.2404,1454.0721,1379.7784,1442.5671,1503.4011,1564.235,1390.527,1619.294,1369.612,1304.1951,1135.624,1192.298,1190.4609,1113.391,862.9076,804.25214,1000.334,823.1971,855.12335,795.1178,770.9702,789.9187
38496,1633.6101,1660.9259,1526.7113,1350.6909,1645.4319,1656.3198,1688.9814,1433.7173,1509.9115,1453.4238,1396.936,1178.803,1431.195,1204.544,1156.812,1018.533,1031.438,1078.491,979.65106,766.0317,739.4152,849.2747,762.8541,856.73145,759.3999,750.0644,773.631
38497,1276.0442,1209.8207,1143.62,1045.6953,1230.2842,1195.2229,1287.8763,1122.2183,1085.9072,1169.4521,1252.9971,1134.966,1275.901,1167.222,1099.2151,979.9593,955.702,966.29706,894.57666,723.7802,652.95856,814.30005,700.2661,767.3481,720.7571,670.021,643.0339
38498,1395.9227,1308.6122,1306.3114,1252.9556,1338.877,1222.0386,1326.6044,1190.4457,1370.824,1472.7659,1574.708,1343.28,1415.6649,1259.895,1197.4,1069.4609,1045.989,1044.275,938.1789,726.3951,694.877,848.41516,780.7461,799.2923,735.7558,741.934,736.4126
38499,1553.7856,1589.3655,1638.029,1399.1837,1717.5415,1526.8624,1561.5903,1509.4587,1518.9492,1682.2826,1845.616,1529.0961,1683.5239,1397.193,1355.103,1191.855,1242.852,1255.246,1159.9049,875.34314,845.352,1026.479,874.1523,897.14813,847.19183,816.59424,861.5416
38500,1422.6035,1469.1328,1312.6823,1249.7302,1420.6929,1413.9904,1456.188,1313.5546,1405.715,1529.6885,1653.6619,1487.507,1688.994,1462.207,1398.303,1209.145,1215.95,1267.42,1124.698,911.74384,827.6481,1039.9761,860.19824,905.20514,813.9774,806.79156,808.59174
38501,1645.321,1715.2513,1488.5885,1410.9897,1634.65,1638.016,1652.0874,1432.1859,1333.9607,1406.5732,1479.1859,1312.337,1533.067,1323.1221,1280.42,1104.1489,1084.988,1170.279,1057.041,832.4339,779.6816,940.30426,803.4608,893.64624,793.1048,797.95953,770.625
38502,843.6204,559.7295,587.99347,599.798,567.5134,599.8939,670.06726,671.15784,606.4607,611.6066,616.75256,528.6867,631.89294,618.1115,553.58307,500.9162,523.76306,509.0823,537.3564,406.68878,384.02618,435.5389,404.48972,394.0169,411.2266,359.4193,375.2176
38503,926.41095,549.94104,703.848,641.2048,616.6498,642.5143,694.18414,725.3317,657.02203,668.02466,679.0272,606.02423,678.38367,591.85516,570.09247,544.0258,565.9251,532.69147,563.2273,441.0842,427.2411,448.1753,419.7516,392.4169,398.4272,379.0219,372.9118
38504,941.7512,560.2333,722.99835,656.25323,632.62274,657.5823,708.51733,732.9175,661.1231,677.3517,693.5802,618.58057,691.0183,597.52734,572.9339,552.3886,569.201,538.1898,568.5392,442.665,432.12042,450.99283,425.7639,395.2021,400.215,384.454,360.8635
38505,941.7512,560.2333,722.99835,656.25323,632.62274,657.5823,708.51733,732.9175,661.1231,677.3517,693.5802,618.58057,691.0183,597.52734,572.9339,552.3886,569.201,538.1898,568.5392,442.665,432.12042,450.99283,425.7639,395.2021,400.215,384.454,360.8635
