station_id,period,ANC_µeq/l,CaMg_µeq/l,Ca_µeq/l,Cl_µeq/l,HCO3_µeq/l,H_µeq/l,K_µeq/l,Mg_µeq/l,NH4-N_µeq/l,NO3-N_µeq/l,Na_µeq/l,OrgAnions_µeq/l,SAA_µeq/l,SO4_µeq/l,TOC_mg C/l,station_code,station_name,country
156,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,940-527,Skammevatn,Norway
156,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,940-527,Skammevatn,Norway
156,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,940-527,Skammevatn,Norway
158,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1742-501,Grytsjøen,Norway
158,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1742-501,Grytsjøen,Norway
158,1998-2012,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1742-501,Grytsjøen,Norway
158,2006-2020,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1742-501,Grytsjøen,Norway
161,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,940-502,Myklevatn,Norway
161,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,940-502,Myklevatn,Norway
161,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,940-502,Myklevatn,Norway
161,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,940-502,Myklevatn,Norway
162,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1443-501,Movatn,Norway
162,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1443-501,Movatn,Norway
162,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1443-501,Movatn,Norway
162,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1443-501,Movatn,Norway
163,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1927-501,Kapervatnet (Lille),Norway
163,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1927-501,Kapervatnet (Lille),Norway
163,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1927-501,Kapervatnet (Lille),Norway
163,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1927-501,Kapervatnet (Lille),Norway
165,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,418-603,Skurvsjøen,Norway
165,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,418-603,Skurvsjøen,Norway
165,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,418-603,Skurvsjøen,Norway
165,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,418-603,Skurvsjøen,Norway
166,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1018-4,Kleivsetvannet,Norway
166,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1018-4,Kleivsetvannet,Norway
166,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1018-4,Kleivsetvannet,Norway
166,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1018-4,Kleivsetvannet,Norway
168,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1401-501,Langevatn,Norway
168,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1401-501,Langevatn,Norway
168,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1401-501,Langevatn,Norway
168,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1401-501,Langevatn,Norway
169,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1850-603,Kjerrvatn,Norway
169,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1850-603,Kjerrvatn,Norway
169,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1850-603,Kjerrvatn,Norway
169,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1850-603,Kjerrvatn,Norway
170,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1034-8,Trollselvatn,Norway
170,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1034-8,Trollselvatn,Norway
170,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1034-8,Trollselvatn,Norway
170,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1034-8,Trollselvatn,Norway
171,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1840-601,Kjemåvatn,Norway
171,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1840-601,Kjemåvatn,Norway
171,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1840-601,Kjemåvatn,Norway
171,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1840-601,Kjemåvatn,Norway
172,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1154-601,Røyravatnet,Norway
172,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1154-601,Røyravatnet,Norway
172,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1154-601,Røyravatnet,Norway
172,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1154-601,Røyravatnet,Norway
173,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1630-601,Grovlivatnet,Norway
173,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1630-601,Grovlivatnet,Norway
173,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1630-601,Grovlivatnet,Norway
173,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1630-601,Grovlivatnet,Norway
174,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,101-605,Holvatn,Norway
174,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,101-605,Holvatn,Norway
174,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,101-605,Holvatn,Norway
174,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,101-605,Holvatn,Norway
176,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,938-66,Grimdalsvatn,Norway
176,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,938-66,Grimdalsvatn,Norway
176,1998-2012,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,938-66,Grimdalsvatn,Norway
176,2006-2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,938-66,Grimdalsvatn,Norway
178,1990-2004,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-619,Fævatnet,Norway
178,1990-2020,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2030-619,Fævatnet,Norway
