station_id,variable,median,mk_p_val,mk_trend,sen_slp,sen_incpt,sen_trend
38086,totn_mgNpm2,819.10889914,1.4929947922404097e-07,decreasing,-12.62352784,26104.03516266,decreasing
38087,totn_mgNpm2,820.34010422,1.4929947922404097e-07,decreasing,-12.642502299999999,26143.272211119995,decreasing
38088,totn_mgNpm2,811.10685306,1.4929947922404097e-07,decreasing,-12.50020595,25849.01937091,decreasing
38089,totn_mgNpm2,390.98104878,1.0707086044448033e-06,decreasing,-5.261013915294126,10928.791921114134,decreasing
38090,totn_mgNpm2,408.21613657999995,1.0707086044448033e-06,decreasing,-5.4962492364705895,11417.203357230592,decreasing
38091,totn_mgNpm2,490.12074468000003,1.0707086044448033e-06,decreasing,-6.6083603682353,13726.666562255306,decreasing
38092,totn_mgNpm2,421.25090825999996,1.0707086044448033e-06,decreasing,-5.673130161176473,11784.530621096474,decreasing
38093,totn_mgNpm2,265.4615656,1.0707086044448033e-06,decreasing,-3.5654844894117628,7407.126997891761,decreasing
38095,totn_mgNpm2,431.35362746,1.1894144980040267e-07,decreasing,-7.821993013333345,16098.805633166688,decreasing
38096,totn_mgNpm2,463.08701599999995,1.1894144980040267e-07,decreasing,-8.397433519999993,17283.146356559988,decreasing
38097,totn_mgNpm2,435.00765013999995,1.1894144980040267e-07,decreasing,-7.888253590000005,16235.17959091001,decreasing
38098,totn_mgNpm2,443.93387821999994,1.1894144980040267e-07,decreasing,-8.050118229999953,16568.320692909907,decreasing
38099,totn_mgNpm2,455.12637240000004,0.8024613596208701,no trend,0.33487484470587037,-215.62794154585833,no trend
38100,totn_mgNpm2,447.2299916,0.8024613596208701,no trend,0.3290648117647078,-211.88682636470975,no trend
38101,totn_mgNpm2,449.7157714,0.8024613596208701,no trend,0.33089381294117587,-213.06453592117532,no trend
38102,totn_mgNpm2,447.2011761,0.8024613596208701,no trend,0.32904361411764216,-211.87318297763727,no trend
38103,totn_mgNpm2,196.39504402000003,1.1894144980040267e-07,decreasing,-3.561348644000006,7329.776377952012,decreasing
38104,totn_mgNpm2,185.34718468000003,1.1894144980040267e-07,decreasing,-3.3610112339999745,6917.452686381949,decreasing
38105,totn_mgNpm2,189.88782302000004,1.1894144980040267e-07,decreasing,-3.4433492800000067,7086.916430860013,decreasing
38106,totn_mgNpm2,202.63775014,1.1894144980040267e-07,decreasing,-3.674551369999989,7562.764144249978,decreasing
38107,totn_mgNpm2,219.28980555999996,1.1894144980040267e-07,decreasing,-3.9765130299999782,8184.245404649956,decreasing
38108,totn_mgNpm2,227.21083503999998,1.1894144980040267e-07,decreasing,-4.120149786666663,8479.870857733325,decreasing
38109,totn_mgNpm2,234.23616048,1.1894144980040267e-07,decreasing,-4.247544209999987,8742.067213109975,decreasing
38110,totn_mgNpm2,243.93223077999997,1.1894144980040267e-07,decreasing,-4.42336887999997,9103.940097419938,decreasing
38111,totn_mgNpm2,226.94267372000004,1.1894144980040267e-07,decreasing,-4.1152870500000205,8469.86263487004,decreasing
38112,totn_mgNpm2,220.97361272,1.1894144980040267e-07,decreasing,-4.007046539999976,8247.087832339952,decreasing
38113,totn_mgNpm2,246.59566890000002,1.1894144980040267e-07,decreasing,-4.471666569999982,9203.343808609963,decreasing
38114,totn_mgNpm2,248.05874772,1.1894144980040267e-07,decreasing,-4.4981974799999875,9257.948300159976,decreasing
38123,totn_mgNpm2,617.4305004,1.1894144980040267e-07,decreasing,-11.196236100000078,23043.49140870016,decreasing
38124,totn_mgNpm2,586.21887632,1.1894144980040267e-07,decreasing,-10.630257119999973,21878.623887679943,decreasing
38125,totn_mgNpm2,570.81462746,1.1894144980040267e-07,decreasing,-10.350922679999977,21303.712755499953,decreasing
38126,totn_mgNpm2,597.5293995999999,1.1894144980040267e-07,decreasing,-10.83535753999999,22300.75055221998,decreasing
38127,totn_mgNpm2,612.3936789599999,1.1894144980040267e-07,decreasing,-11.104900426666688,22855.50923357338,decreasing
38128,totn_mgNpm2,606.5523312800001,1.1894144980040267e-07,decreasing,-10.998975819999941,22637.500898739883,decreasing
38129,totn_mgNpm2,569.68536212,1.1894144980040267e-07,decreasing,-10.330445019999956,21261.56673717991,decreasing
38130,totn_mgNpm2,618.29342736,1.1894144980040267e-07,decreasing,-11.21188411,23075.69729969,decreasing
38131,totn_mgNpm2,608.88195578,1.1894144980040267e-07,decreasing,-11.041220259999932,22724.446136559865,decreasing
38132,totn_mgNpm2,601.32210292,1.1894144980040267e-07,decreasing,-10.904132959999941,22442.300421799882,decreasing
38133,totn_mgNpm2,623.1752002,1.1894144980040267e-07,decreasing,-11.300408209999972,23257.892844829945,decreasing
38134,totn_mgNpm2,456.0507651,1.1894144980040267e-07,decreasing,-8.269840950000003,17020.542187950006,decreasing
38135,totn_mgNpm2,433.30378685999995,1.1894144980040267e-07,decreasing,-7.857356429999982,16171.588716149963,decreasing
38136,totn_mgNpm2,426.5721768,1.1894144980040267e-07,decreasing,-7.735288120000007,15920.354281160015,decreasing
38137,totn_mgNpm2,438.11624724,1.1894144980040267e-07,decreasing,-7.94462367999995,16351.197478279899,decreasing
38138,totn_mgNpm2,446.53713426,1.1894144980040267e-07,decreasing,-8.097324619999995,16665.47834811999,decreasing
38139,totn_mgNpm2,437.55437026000004,1.1894144980040267e-07,decreasing,-7.934434760000045,16330.22719454009,decreasing
