period,region,variable,n_vals,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp
1990-2020,UK-IE-NL,OrgAnions_µeq/l,674,56.62776729804701,40.125731129678385,45.307044420293686,43.57944694370444,0.0,increasing,0.774227574064103
1990-2020,UK-IE-NL,HCO3_µeq/l,671,5.382092308902589,0.0,19.126145548563965,0.0,6.726992096695028e-08,increasing,0.0
1990-2004,SoNord,SO4_µeq/l,2113,95.23702413998826,78.94934083962791,69.84087163754147,87.44389017047394,0.0,decreasing,-3.0633752433097854
1990-2004,SoNord,NO3-N_µeq/l,2113,5.045417821648309,3.357142857142857,5.420800234503086,4.892857142857142,0.0,decreasing,-0.05844155844155846
1990-2004,SoNord,Cl_µeq/l,2103,110.93882653960476,78.97780159647984,99.46741284339002,123.58173497306294,0.0,decreasing,-1.0577384142385693
1990-2004,SoNord,Ca_µeq/l,2113,100.7169554525592,82.99585828343314,76.42797816027216,121.06207584830341,0.0,decreasing,-0.7485029940119757
1990-2004,SoNord,Mg_µeq/l,2110,57.912524230813084,49.35834155972359,40.564265526125865,58.79678759460348,0.0,decreasing,-0.5623380429417573
1990-2004,SoNord,CaMg_µeq/l,2113,158.5616847121804,135.07831326488187,113.20491178697593,172.9226640499849,0.0,decreasing,-1.3277369249654685
1990-2004,SoNord,H_µeq/l,2101,5.112175386735911,1.9307194016397549,6.993076965080037,6.7547941704770444,0.0,decreasing,-0.032493986103334094
1990-2004,SoNord,SAA_µeq/l,2111,211.4219073304584,172.75699123140367,151.73527584430497,190.17643990774715,0.0,decreasing,-4.46269468761995
1990-2004,SoNord,ANC_µeq/l,2113,77.35059513804507,56.10319830701374,89.57351262733562,135.54879793463226,0.0,increasing,2.6336805629511195
1990-2004,SoNord,OrgAnions_µeq/l,2110,77.79787028467628,75.40079674020154,55.90508458201216,84.02330253207103,0.0,increasing,0.894894281214011
1990-2004,SoNord,HCO3_µeq/l,2109,24.823824530547935,0.0,44.23520810055461,31.561352040687535,0.0,increasing,0.0
1990-2004,NoNord,SO4_µeq/l,667,66.68703174333693,51.00893593277647,53.46721525385791,54.1319320102934,0.0,decreasing,-1.230271182052123
1990-2004,NoNord,NO3-N_µeq/l,669,1.7817104420243417,1.1071428571428572,2.4158958001696087,1.8571428571428572,0.03595246677132691,decreasing,0.0
1990-2004,NoNord,Cl_µeq/l,662,111.90232353493322,92.3994584379319,88.59810141693933,113.57361506783627,5.99107430332424e-11,decreasing,-0.4090909090909091
1990-2004,NoNord,Ca_µeq/l,665,92.15234515930538,58.383233532934135,154.4273554978002,64.19660678642714,0.00017770522680327083,decreasing,-0.0998003992015974
1990-2004,NoNord,Mg_µeq/l,665,48.84094429063776,42.77722935176045,37.033770185058344,32.08292201382034,4.440892098500626e-15,decreasing,-0.2243560979987439
1990-2004,NoNord,CaMg_µeq/l,667,140.78183850341833,98.25955197206773,186.90511283933665,90.80333902776874,2.7064226415518533e-09,decreasing,-0.44696251271255455
