period,station_id,variable,n_vals,first,last,mean,median,std_dev,iqr,mk_p_val,mk_trend,sen_slp,sen_incpt,sen_trend
1990-2020,38358,CaMg_µeq/l,31,183.47430068293818,146.99377158811694,157.63267338599238,154.47908011715958,21.375009517906214,31.350743195248214,0.00025742510485438075,decreasing,-1.718530345835969,3600.1324235182774,decreasing
1990-2020,38358,H_µeq/l,31,2.286509662012657,1.691682887422925,1.392684649312333,1.380384264602884,0.46454660917552903,0.7361344094455238,0.9593282160171601,no trend,0.00016675954486133904,1.0460313771558993,no trend
1990-2020,38358,SAA_µeq/l,31,228.23550037535438,136.59713927557715,153.79848947463782,145.99435332566367,33.73724365462236,50.745252897248065,1.1680885727560764e-06,decreasing,-3.1845755478669884,6531.068326798975,decreasing
1990-2020,38358,ANC_µeq/l,31,54.487787195511245,132.57301964339473,111.22355622745974,111.27971934298711,23.893891124948354,28.81959800915274,6.974277946447671e-05,increasing,1.802966981877545,-3503.6690793214907,increasing
1990-2020,38358,OrgAnions_µeq/l,31,134.82615619077905,220.2387435675057,166.04003874266368,157.14340168856643,37.66187816001989,55.58957540932829,0.0009761747063838921,increasing,2.559413867724122,-4974.481403098298,increasing
1990-2020,38358,HCO3_µeq/l,31,0.0,0.0,0.40831656209511913,0.0,2.273410403186476,0.0,0.8668152851274225,no trend,0.0,0.0,no trend
1990-2020,38359,SO4_µeq/l,31,180.38425343737768,72.86990847539495,103.5975034299228,96.9377982461254,37.607828930038515,63.31354047819316,1.965873464015999e-09,decreasing,-3.872515136120988,7861.330646168707,decreasing
1990-2020,38359,NO3-N_µeq/l,31,2.5,4.071428571428571,3.4539170506912433,3.428571428571429,1.430005041033022,1.9285714285714288,0.9864375153008302,no trend,-0.0025510204081632564,8.543367346938759,no trend
1990-2020,38359,Cl_µeq/l,31,184.0,170.6484641638225,172.52481659043372,170.6484641638225,18.078075075580667,30.080980452994083,0.0004925623502316512,decreasing,-1.5,3178.1484641638226,decreasing
1990-2020,38359,Ca_µeq/l,31,162.99186626746507,154.69061876247505,157.5568564483936,157.9921157684631,7.855944245778035,10.147891716566846,0.00022315908884107394,decreasing,-0.6131023666951835,1387.262360992306,decreasing
1990-2020,38359,Mg_µeq/l,31,88.47451875616979,76.50542941757158,79.63808195076902,78.97725403093122,6.997631016902053,9.056535867061541,8.954789092685544e-06,decreasing,-0.6664747175606038,1415.2590627399418,decreasing
1990-2020,38359,CaMg_µeq/l,31,252.96595313814623,231.1960481800466,237.21088280878624,235.96953871132365,13.925618549208407,23.02182806154724,9.91272679740085e-06,decreasing,-1.3108416368341627,2864.20702056382,decreasing
1990-2020,38359,H_µeq/l,31,1.1110130514952146,0.4818056575859229,0.4542812319730625,0.4168693834703355,0.16980515785625233,0.14895172700603082,0.009781611919498001,decreasing,-0.007334922141133799,15.1233882764436,decreasing
1990-2020,38359,SAA_µeq/l,31,367.9556820088062,248.04191058892883,279.8237705133016,266.9004808224247,52.705261764843414,87.16839263363408,1.672965166399365e-08,decreasing,-4.97316307642157,10238.092449047674,decreasing
1990-2020,38359,ANC_µeq/l,31,64.2919549794259,175.8102941609022,144.21232249766297,155.99286905027645,35.22799394057834,54.523417603914,6.153454805701841e-06,increasing,3.1998567285885335,-6259.719871769733,increasing
1990-2020,38359,OrgAnions_µeq/l,31,83.4527518461987,155.0581988416264,116.13723618160668,117.46056510075124,21.358917554365444,31.716268264609596,8.266810680446213e-07,increasing,1.9311484339584872,-3754.4920449860156,increasing
1990-2020,38359,HCO3_µeq/l,31,0.0,21.042157473635484,28.455053668367633,28.33223132049328,23.1498389181503,27.444408853666218,0.0027433595100865293,increasing,1.2243389568076153,-2426.4673770787754,increasing
1990-2020,38360,SO4_µeq/l,31,317.7960808481224,218.60972542618487,205.50791736592672,179.88457406497497,72.81245485880112,104.245609067515,5.202991979880167e-05,decreasing,-5.820339356320435,11849.664983487448,decreasing
1990-2020,38360,NO3-N_µeq/l,31,1.8571428571428572,6.2857142857142865,3.4147465437788016,3.107142857142857,2.6521823483932647,2.839285714285714,0.3767967991819643,no trend,-0.041208791208791215,85.73076923076924,no trend
1990-2020,38360,Cl_µeq/l,31,280.0,251.03658364595378,285.6378799555613,278.5,35.25257794175028,46.340436634417415,0.0009761747063838921,decreasing,-2.1818181818181817,4653.045454545454,decreasing
1990-2020,38360,Ca_µeq/l,31,224.48879740518964,214.57085828343315,189.12195769750824,184.49079341317366,34.11460909091218,51.94145459081838,0.0003130173580720985,decreasing,-2.933186959414504,6065.530647039253,decreasing
1990-2020,38360,Mg_µeq/l,31,140.95940276406714,135.73543928923988,125.17594855587045,119.46559312273774,21.69489200960566,33.99021059559065,0.0013922649334909831,decreasing,-1.6189954968130353,3365.5515642328733,decreasing
1990-2020,38360,CaMg_µeq/l,31,365.4482001692568,347.8112875926331,314.3573946898103,303.9563865359114,55.67346188972143,86.48657923540867,0.0001405505548264241,decreasing,-4.499492796243647,9325.439443004423,decreasing
1990-2020,38360,H_µeq/l,31,1.7840729442762182,0.8743521155813063,0.8305603292620012,0.7483961336185154,0.3768185045691523,0.5029852514238137,0.00035800799918561665,decreasing,-0.023572259380408116,48.01077619133679,decreasing
1990-2020,38360,SAA_µeq/l,31,603.6506586844869,477.3423412435044,494.57166858072696,474.2924251041738,96.03447893643305,189.59857970774692,0.000463060547241545,decreasing,-7.6468204411909255,15806.16740969198,decreasing
1990-2020,38360,ANC_µeq/l,31,65.53444177931564,170.25630706725352,151.09380564871984,161.2777932381174,37.38679397315488,50.02580810324571,0.0009761747063838921,increasing,2.7701280248967883,-5392.828896679943,increasing
1990-2020,38360,OrgAnions_µeq/l,31,101.48037812644674,193.0907515758272,146.32260982906206,144.79575497332485,28.54213906226486,38.96334986361609,2.301109211844121e-06,increasing,2.796873434055591,-5462.935480308136,increasing
1990-2020,38360,HCO3_µeq/l,31,0.0,7.906573884947818,11.818215341996192,6.188674629530638,14.29204113567846,18.5807246762241,0.30889477864182924,no trend,0.0,6.188674629530638,no trend
1990-2020,38361,SO4_µeq/l,31,128.91727807989872,51.00893593277647,75.67120237632466,65.95767715715749,26.199840444605105,46.22034194725052,3.777267387761185e-11,decreasing,-2.8981403599357067,5876.729098828249,decreasing
1990-2020,38361,NO3-N_µeq/l,31,1.0357142857142856,0.0714285714285714,1.30184331797235,1.0357142857142856,1.055067086466713,1.6249999999999996,0.323955394517069,no trend,-0.01785714285714285,36.839285714285694,no trend
1990-2020,38361,Cl_µeq/l,31,105.5,111.41511296646263,104.96019446008937,102.95320565255409,11.229549501869288,13.346430485431412,0.0006732037848906636,decreasing,-0.7615728335166766,1629.9067368534907,decreasing
1990-2020,38361,Ca_µeq/l,31,162.4918912175649,157.18562874251495,154.5902042688816,155.4922405189621,14.927465239629866,21.387599800399244,2.6842621499545416e-05,decreasing,-1.3276671656686632,2817.4649076846317,decreasing
1990-2020,38361,Mg_µeq/l,31,81.97639025995393,77.32806844356696,77.91211893237379,76.91674893056927,8.023404990457236,14.317929417571563,1.040136063079622e-05,decreasing,-0.7557867513984858,1592.2691854845334,decreasing
1990-2020,38361,CaMg_µeq/l,31,242.46885732483702,234.5136971860819,232.50231936216733,231.6073676930443,22.63445674628159,34.955983184174556,1.5809977126357566e-05,decreasing,-2.0833471318787415,4408.718367109921,decreasing
1990-2020,38361,H_µeq/l,31,0.19074815867894301,0.1485386489975291,0.1597965265452184,0.1584893192461114,0.026970862756758897,0.0395267050116527,0.35858129546452777,no trend,-0.0005237194867674889,1.2085468902149268,no trend
1990-2020,38361,SAA_µeq/l,31,237.5276272130145,162.49547747066768,181.51502705155073,172.70799778475478,35.259220552663976,63.6088706175442,6.48588167617703e-08,decreasing,-3.6929092065192233,7576.990956855798,decreasing
