SiteID,Lat,Lon,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
23532,49.7692,12.4213,1602.35,1541.50,1480.26,1418.63,1356.61,1294.20,1235.27,1175.97,1116.31,1056.28,995.89,941.67,963.16,812.96,838.67,872.59,829.81,791.79,743.32,712.07,727.78,614.80,622.71,647.45,604.63,572.56,568.40,633.46
23533,49.7890,12.4242,1563.88,1504.08,1443.92,1383.40,1322.52,1261.27,1203.58,1145.55,1087.19,1028.48,969.44,915.35,942.57,786.69,817.16,849.38,808.61,769.33,722.58,694.02,707.19,595.04,604.86,630.27,587.61,556.87,551.06,615.90
23534,50.7220,13.7062,1756.83,1687.93,1618.69,1549.09,1479.15,1408.85,1343.25,1277.33,1211.08,1144.51,1077.61,1051.58,1040.53,894.79,890.03,917.11,954.97,854.90,830.91,812.52,796.65,696.78,711.52,694.53,695.11,624.52,651.97,647.93
23535,50.3190,12.1368,1726.48,1653.37,1579.88,1505.99,1431.72,1357.05,1291.96,1226.52,1160.74,1094.62,1028.16,1004.15,1025.48,885.51,867.81,913.38,876.94,823.67,744.49,746.45,752.80,628.88,650.61,671.73,623.54,591.39,584.06,631.40
23536,51.0012,8.2033,2304.14,2212.10,2119.29,2025.70,1931.34,1836.20,1749.62,1662.33,1574.34,1485.64,1396.23,1224.89,1291.95,1164.14,1247.18,1164.23,1161.96,1133.35,972.47,998.81,928.13,878.92,862.87,863.61,850.79,778.00,780.64,855.38
23537,50.0053,11.9008,1733.88,1661.87,1589.38,1516.39,1442.91,1368.94,1304.59,1239.81,1174.61,1108.98,1042.92,985.44,1024.23,876.63,890.73,883.51,863.25,852.67,762.72,718.51,750.28,648.99,652.11,663.75,622.64,593.43,584.58,642.34
23538,50.2056,8.4331,2321.81,2235.05,2147.58,2059.42,1970.56,1881.01,1792.26,1702.83,1612.71,1521.90,1430.41,1285.44,1328.64,1219.54,1218.02,1219.77,1146.96,1071.82,939.55,982.29,1003.52,866.45,910.70,887.34,897.82,775.73,806.65,819.39
23515,48.4198,8.3588,1781.63,1720.98,1659.98,1598.62,1536.91,1474.85,1406.71,1338.18,1269.27,1199.97,1130.29,1095.25,1078.83,1036.03,1021.34,1042.62,988.47,976.40,820.15,809.02,837.66,724.52,713.43,758.09,700.72,664.58,661.15,616.03
23539,49.6564,8.8889,2321.79,2233.36,2144.32,2054.67,1964.43,1873.58,1784.06,1693.96,1603.27,1511.98,1420.10,1278.35,1310.12,1146.14,1193.35,1215.54,1137.09,1094.37,999.99,918.11,1012.56,836.18,900.59,905.86,882.50,786.87,773.21,819.33
23552,53.0000,-6.3500,527.71,517.11,506.44,495.70,484.90,474.02,460.34,446.57,432.71,418.77,404.75,455.75,475.00,472.20,324.90,405.85,400.55,336.25,357.00,284.60,288.85,240.95,306.40,304.50,335.00,210.65,283.65,189.35
23553,53.0000,-6.3833,517.11,506.78,496.40,485.94,475.43,464.84,451.44,437.97,424.41,410.77,397.05,443.12,462.93,467.80,313.63,396.95,395.32,331.75,350.93,275.67,279.02,234.78,297.53,292.97,324.47,205.08,277.42,184.05
23554,53.0000,-6.3500,527.71,517.11,506.44,495.70,484.90,474.02,460.34,446.57,432.71,418.77,404.75,455.75,475.00,472.20,324.90,405.85,400.55,336.25,357.00,284.60,288.85,240.95,306.40,304.50,335.00,210.65,283.65,189.35
23555,53.0000,-6.3500,527.71,517.11,506.44,495.70,484.90,474.02,460.34,446.57,432.71,418.77,404.75,455.75,475.00,472.20,324.90,405.85,400.55,336.25,357.00,284.60,288.85,240.95,306.40,304.50,335.00,210.65,283.65,189.35
23556,53.4774,-9.5410,286.50,283.69,280.86,278.01,275.14,272.24,266.72,261.16,255.57,249.94,244.27,214.40,261.23,287.72,192.32,224.40,226.62,197.96,220.33,167.96,133.19,137.10,155.11,168.20,161.96,133.72,156.16,119.22
23557,53.4667,-9.5333,287.20,284.39,281.56,278.71,275.83,272.93,267.42,261.87,256.29,250.66,245.00,215.96,263.08,291.06,193.29,226.07,229.40,199.70,221.70,169.82,134.41,139.04,156.84,169.68,162.74,135.12,157.34,120.68
23558,53.4833,-9.5333,285.53,282.73,279.90,277.05,274.18,271.28,265.77,260.22,254.63,249.01,243.35,213.54,260.36,287.08,192.09,224.15,225.98,197.00,220.30,167.08,133.17,136.24,154.54,168.22,162.17,133.53,155.89,119.02
23559,55.0475,-7.9536,395.30,388.81,382.25,375.64,368.96,362.22,351.59,340.87,330.06,319.16,308.18,273.22,284.80,303.56,218.36,262.34,254.74,208.56,245.71,179.47,169.88,163.19,178.62,194.01,209.28,151.03,178.89,127.54
23560,55.1333,-7.7000,393.81,386.39,378.89,371.33,363.70,356.01,344.85,333.59,322.24,310.80,299.27,283.03,297.13,308.60,226.70,265.53,261.13,207.47,241.87,191.33,181.37,162.33,173.13,192.03,208.40,154.10,180.67,133.80
